,date,user_name,user_id,user_location,id_tweet,favorites,retweets,hashtags,text
231,2021-03-31 08:44:54,jlprieto,7742252,"Madrid, España",1377180086546231304,0,1,[],Lo de que la Comunidad de Madrid no vaya a poner ninguna vacuna esta semana desde mañana tengo muy claro que es para contribuir a esto: https://t.co/eTWZSRGI1j
232,2021-03-31 08:43:37,_lavozdecordoba,729588514443145216,"Córdoba, España",1377179765770051820,1,1,[],Suspenso a la campaña de vacunación contra la covid-19 en el primer trimestre del año https://t.co/5rIdQXv96q a través de @_lavozdecordoba @Sindicato_SATSE
233,2021-03-31 08:36:17,BrainstormCarlo,4179893074,"Madrid, España",1377177918774804486,2,1,[],"Dice El Mundo que la lentitud en la vacunación alimenta el euroescepticismo. 

Y es cierto.
https://t.co/efmpSTCVSP"
234,2021-03-31 08:31:15,el_pais_madrid,34688282,"Madrid, España",1377176654657675265,3,1,[],"En el grupo de más de 80 años, con 330.000 personas como población diana, hasta la pasada semana se habían administrado 307.902 vacunas de Pfizer: 202.832 primeras dosis y 105.070 ambas. Madrid tiene con la pauta completa al 31,8% de este grupo  https://t.co/aGFCo8jygE"
235,2021-03-31 08:22:42,cpuertollano,550338533,Puertollano,1377174501327208452,2,0,[],"IU-CLM pide ""mejorar los planes de vacunación"" y ""un calendario para la comunidad educativa de la región"" - 31/03/2021 Región | Diario La Comarca de Puertollano https://t.co/5IFc1rnomC"
236,2021-03-31 08:21:00,elindepcom,743456072673992704,"Madrid, Comunidad de Madrid",1377174074187653123,4,5,[],"🗞 EN PORTADA | Cataluña, a la cola en la vacunación a mayores de 80 años con un 37% de primeras dosis

Lo cuenta @cruelabis  

https://t.co/23OTLMDxMB"
237,2021-03-31 07:44:07,nauscopio,16629889,Tarragona,1377164793459564552,0,0,[],"Cataluña, a la cola en la vacunación a mayores de 80 años con un 37% de primeras dosis
https://t.co/VeAlhvsbm4"
238,2021-03-31 07:41:13,NoticiasdeAlava,291276198,Vitoria-Gasteiz,1377164061096300553,1,0,[],Rusia anuncia el registro de la primera vacuna contra el covid para animales https://t.co/TaIafvDCYs
239,2021-03-31 07:38:40,NoticiasdeAlava,291276198,Vitoria-Gasteiz,1377163419980206082,0,0,[],La vacuna de AstraZeneca cambia de nombre y pasa a llamarse Vaxzevria https://t.co/oZbHp2gnmA
240,2021-03-31 07:24:02,ElDigitalAB,1219839072,"Albacete, España",1377159735963656196,0,2,[],Alemania restringe la vacuna de AstraZeneca hasta los 60 años tras más de 30 nuevos casos de trombosis - https://t.co/wKja996guT
241,2021-03-31 07:22:14,deia_eus,107460646,Bilbao,1377159282613882891,1,1,"[{'text': 'vacuna', 'indices': [5, 12]}, {'text': 'coronavirus', 'indices': [73, 85]}]","😷 La #vacuna de AstraZeneca cambia de nombre y pasa a llamarse Vaxzevria #coronavirus 
https://t.co/b2HkXbMcj0"
242,2021-03-31 07:20:22,diariolaopinion,129907921,Región de Murcia,1377158816685428737,1,2,[],"Macron y Merkel evalúan con Putin una posible colaboración sobre la vacuna Sputnik V
https://t.co/HdjuvmD8po"
